RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId
B8-000422,2018/01/02 00:00:00+00,1252,1440 N 56 at LAUNDRY LAND,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,33
B8-000446,2018/01/02 00:00:00+00,1450,"VINE,N 45 to N 48",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,34
B8-000450,2018/01/02 00:00:00+00,1509,"ADAMS,N 13 to N 14",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,35
B8-000462,2018/01/02 00:00:00+00,1552,"CAPITOL PKWY W,S 9 to S FOLSOM",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,36
B8-000471,1970/01/01 00:00:00+00,9999,"HARWOOD,S 18 to S 19",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,37
B8-000478,2018/01/02 00:00:00+00,1645,HOMESTEAD at W O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,38
B8-000487,2018/01/02 00:00:00+00,1728,"S 48,HILLSIDE to SHERMAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,39
B8-000490,2018/01/02 00:00:00+00,9999,"S 18,G to H",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,40
B8-000510,2018/01/02 00:00:00+00,1830,300 SPEEDWAY CIR at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,41
B8-000511,2018/01/02 00:00:00+00,1842,"N 52,O to R",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,42
B8-000537,2018/01/02 00:00:00+00,2014,N 14 at SUPERIOR,NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,43
B8-000574,2018/01/03 00:00:00+00,1,", to",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,44
B8-000582,2018/01/03 00:00:00+00,115,"N 23,W to Y",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,45
B8-000619,2018/01/03 00:00:00+00,650,"NW 12,W ADAMS to W CORNHUSKER",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,46
B8-000628,2018/01/03 00:00:00+00,800,"S 9,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,47
B8-000630,2018/01/03 00:00:00+00,800,"S 80,SOUTH to TRENDWOOD",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,48
B8-000642,2017/12/28 00:00:00+00,2130,"P,N 11 to N 12",INJURY,SIDE SWIPE,2,1,NO,NO,NO,NO,NO,NO,NO,49
B8-000655,2018/01/03 00:00:00+00,952,S 52 at FRANKLIN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,50
B8-002790,2018/01/10 00:00:00+00,1750,"BRIDGER,NW 6 to NW 7",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,51
B8-002793,2018/01/10 00:00:00+00,1805,CAPITOL PKWY at A,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,52
B8-002798,2018/01/10 00:00:00+00,1755,"CORNHUSKER,N 70 to RUSSELL",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,53
B8-002851,2018/01/10 00:00:00+00,2115,"S 14,CENTERPARK to PIONEERS",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,54
B8-002908,2018/01/11 00:00:00+00,433,S 27 at PINE LAKE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,55
B8-002915,2018/01/11 00:00:00+00,545,S 56 at NEBR HWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,56
B8-002917,2018/01/11 00:00:00+00,625,"CAPITOL PKWY,D to S 27",FATAL,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,57
B8-002921,2018/01/11 00:00:00+00,640,S 48 at PIONEERS,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,58
B8-002922,2018/01/11 00:00:00+00,640,HAVELOCK at CORNHUSKER,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,59
B8-002927,2018/01/11 00:00:00+00,717,"I 180,CORNHUSKER to SUPERIOR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,60
B8-002933,2018/01/11 00:00:00+00,800,N 27 at SUPERIOR,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,61
B8-002934,2018/01/11 00:00:00+00,30,"LAKESIDE DR,SURFSIDE to W S",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,62
B8-002939,2018/01/11 00:00:00+00,840,N 14 at KNOX,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,63
B8-002941,2018/01/11 00:00:00+00,750,"L,S 14 to S 16",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,64
B8-002942,2018/01/11 00:00:00+00,849,"N ANTELOPE VALL,SALT CREEK RDWY to N 17",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,65
B8-002945,2018/01/10 00:00:00+00,9999,"W,N 33 to N 34",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,66
B8-002956,2018/01/11 00:00:00+00,945,N 48 at CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,67
B8-002962,2018/01/11 00:00:00+00,1003,S 16 at K,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,68
B8-002966,2018/01/11 00:00:00+00,1020,"O,12 to 13",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,69
B8-002968,2018/01/11 00:00:00+00,1008,"A,S 49 to S COTNER",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,70
B8-002971,2018/01/11 00:00:00+00,1045,"S 40,M to N",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,71
B8-002974,2018/01/11 00:00:00+00,1142,"PIONEERS,PAGODA to S 84",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,72
B8-002978,2018/01/11 00:00:00+00,1131,"N ANTELOPE VALL,VIRGINIA to SAUNDERS",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,73
B8-002980,2018/01/11 00:00:00+00,1135,"PIONEERS,PAGODA to S 84",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,74
B8-002981,2018/01/11 00:00:00+00,9999,1128 L at PARKING GARAGE,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,75
B8-002985,2018/01/11 00:00:00+00,1135,"NORMAL,EVERETT to GARFIELD",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,76
B8-002987,2018/01/10 00:00:00+00,2010,"S 10,HIGH to VAN DORN",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,77
B8-002989,2018/01/10 00:00:00+00,1505,7001 S 14 at SWHS PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,78
B8-003035,2018/01/11 00:00:00+00,1532,"N ANTELOPE VALL,VINE to N 17",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,79
B8-003044,2018/01/11 00:00:00+00,1552,"N 27,DUDLEY to ORCHARD",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,80
B8-003049,2018/01/11 00:00:00+00,1546,"MOHAWK,S 35 to S 37",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,81
B8-003057,2018/01/11 00:00:00+00,1620,"N 27,FAIRFIELD to OLD DAIRY RD",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,82
B8-003061,2018/01/11 00:00:00+00,1639,"W BENTON,NW 52 to W HUGHES",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,83
B8-003068,2018/01/11 00:00:00+00,1709,"NORMAL,S 70 to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,84
B8-003077,2018/01/11 00:00:00+00,1750,"N 33,LEIGHTON to MERRILL",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,85
B8-003085,2018/01/09 00:00:00+00,1640,"S 17,N to O",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,86
B8-003097,2018/01/11 00:00:00+00,1940,"N 33,HOLDREGE to STARR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,87
B8-003123,2018/01/11 00:00:00+00,2123,"NEBR HWY,S 84 to S 87",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,88
B8-003131,2018/01/12 00:00:00+00,2140,3928 N 20 ST at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,89
B8-003151,2018/01/11 00:00:00+00,2317,"DOROTHY,BALDWIN to WALKER",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,90
B8-003154,2018/01/11 00:00:00+00,2350,N 10 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,91
B8-003169,2018/01/12 00:00:00+00,112,3043 S 31 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,YES,NO,92
B8-003179,2018/01/12 00:00:00+00,206,"S 50,DUXHALL DR to OLD CHENEY",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,93
B8-003193,2018/01/12 00:00:00+00,9999,"LINDEN,S 46 to S 47",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,94
B8-003198,2018/01/12 00:00:00+00,625,N 17 at P,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,95
B8-003201,2018/01/12 00:00:00+00,725,"S 40,LINDEN to LOCUST",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,96
B8-003202,2018/01/12 00:00:00+00,732,"S 40,STONECLIFFE to WILDBRIAR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,97
B8-003204,2018/01/12 00:00:00+00,750,S 34 at SMITH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,98
B8-003207,2018/01/12 00:00:00+00,755,"S 40,LAKE to SMITH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,99
B8-003212,2018/01/12 00:00:00+00,740,"BALDWIN,N 56 to N 57",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,100
B8-002243,2018/01/08 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,101
B8-002270,2018/01/09 00:00:00+00,125,"GARFIELD,S 15 to S 16",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,102
B8-002298,2018/01/09 00:00:00+00,705,"NEBR HWY,S 14 to BROWER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,103
B8-002300,2018/01/09 00:00:00+00,710,N 40 at MADISON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,104
B8-002307,2018/01/09 00:00:00+00,746,S 17 at L,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,105
B8-002309,2018/01/09 00:00:00+00,748,"S 10,L to M",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,106
B8-002315,2018/01/09 00:00:00+00,807,S 14 at VAVRINA BLVD,NON-INJ,TURNING,3,0,NO,NO,NO,NO,NO,NO,NO,107
B8-002316,2018/01/09 00:00:00+00,816,"S 48,NEBR HWY to RENTWORTH DR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,108
B8-002317,2018/01/09 00:00:00+00,715,"S CODDINGTON,W A to W GARFIELD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,109
B8-002349,2018/01/09 00:00:00+00,1025,"K,S 10 to S 9",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,110
B8-002352,2018/01/09 00:00:00+00,1050,S 27 at RANDOLPH,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,111
B8-002355,2018/01/09 00:00:00+00,1150,"LEWIS,GRANDVIEW to SUPERIOR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,112
B8-002367,2018/01/09 00:00:00+00,1115,S FOLSOM at W PROSPECTOR PL,NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,113
B8-002385,2018/01/09 00:00:00+00,1215,S 52 at L,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,114
B8-002392,2018/01/09 00:00:00+00,1220,52 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,115
B8-002421,2018/01/09 00:00:00+00,1444,"K,S 13 to S 14",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,116
B8-002453,2018/01/09 00:00:00+00,1600,"N 48,LEIGHTON to WALKER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,117
B8-002458,2018/01/10 00:00:00+00,9999,"T,N 25 to N 26",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,118
B8-002461,2018/01/09 00:00:00+00,1615,"BENTON,N 7 to N 8",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,119
B8-002463,2018/01/09 00:00:00+00,1628,"NORMAL,S 55 to S 56",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,120
B8-002480,2018/01/09 00:00:00+00,1715,N 84 at HOLDREGE,NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,121
B8-002482,2018/01/10 00:00:00+00,1710,"O,14 to CENTENNIAL MALL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,122
B8-002487,2018/01/09 00:00:00+00,9999,6041 VILLAGE DR at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,123
B8-002488,2018/01/09 00:00:00+00,1739,"N 48,BENTON to FREMONT",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,124
B8-002499,2018/01/09 00:00:00+00,1800,N 9 at Q,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,125
B8-002509,2018/01/09 00:00:00+00,1846,"A,KINGSTON to S 70",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,126
B8-002514,2018/01/09 00:00:00+00,1738,8215 NORTHWOODS at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,127
B8-002523,2018/01/09 00:00:00+00,1915,N 1 at W GARBER,NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,128
B8-002525,2018/01/09 00:00:00+00,1916,N 21 at DUDLEY,INJURY,RIGHT ANGLE,2,4,NO,NO,NO,NO,NO,NO,NO,129
B8-002542,2018/01/09 00:00:00+00,2005,"N 27,FAIR to POTTER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,YES,130
B8-002617,2018/01/10 00:00:00+00,646,S 56 at OLD CHENEY,INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,131
B8-002620,2018/01/10 00:00:00+00,740,"SOUTH,S 52 to S 53",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,132
B8-002622,2018/01/10 00:00:00+00,749,"VAN DORN,S 38 to SCOTT",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,133
B8-002632,2018/01/10 00:00:00+00,855,"O,14 to CENTENNIAL MALL",NON-INJ H&R,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,134
B8-002637,2018/01/10 00:00:00+00,917,"PIONEERS,S 48 to S 49",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,135
B8-002649,2018/01/10 00:00:00+00,999,1221 D at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,136
B8-002650,2018/01/10 00:00:00+00,1020,"N 29,ORCHARD to Y",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,137
B8-002655,2018/01/10 00:00:00+00,1030,N 84 at COLLEGE PARK,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,138
B8-002683,2018/01/10 00:00:00+00,1130,"STOCKWELL,S 52 to S 53",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,139
B8-002687,2018/01/10 00:00:00+00,1207,"S 51,FRANKLIN to SUMNER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,140
B8-002744,2018/01/10 00:00:00+00,1533,"LEIGHTON,N 44 to N 48",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,141
B8-002746,2018/01/03 00:00:00+00,1733,S 40 at FAULKNER DR,INJURY,TURNING,3,2,NO,NO,NO,NO,NO,NO,NO,142
B8-002747,2018/01/10 00:00:00+00,1533,"PINE LAKE,S 14 to S 16",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,143
B8-002750,2018/01/10 00:00:00+00,1547,"NEBR HWY,S 27 to SOUTHWOOD DR",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,YES,NO,144
B8-002754,2018/01/10 00:00:00+00,1609,S 16 at PINE LAKE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,145
B8-002756,2018/01/10 00:00:00+00,1607,"S 27,PORTER RIDGE to TAMARIN RIDGE RD",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,146
B8-002762,2018/01/10 00:00:00+00,1637,S 84 at NEBR HWY,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,147
B8-002766,2018/01/10 00:00:00+00,1652,S 36 at F,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,148
B8-002779,2018/01/10 00:00:00+00,1730,S 70 at NEBR HWY,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,149
B8-002789,2018/01/10 00:00:00+00,1755,"CORNHUSKER,N 70 to RUSSELL",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,150
B8-001246,2018/01/05 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,151
B8-001270,2018/01/05 00:00:00+00,1504,PINE LAKE at S 14,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,152
B8-001279,2018/01/05 00:00:00+00,9999,"NW 7,LESTER to BRIDGER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,153
B8-001286,2018/01/05 00:00:00+00,9999,4501 TRANQUILITY at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,154
B8-001304,2018/01/05 00:00:00+00,1613,S 46 at J,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,155
B8-001309,2018/01/05 00:00:00+00,1630,"S 56,HIGH to NEERPARK",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,156
B8-001325,2018/01/05 00:00:00+00,9999,"5633 S 31,PARKING LOT to APT COMPLEX",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,157
B8-001326,2018/01/05 00:00:00+00,1715,"S 27,JAMESON NORTH to TIERRA",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,NO,NO,158
B8-001337,2018/01/05 00:00:00+00,1742,"HOMESTEAD EXP,ROSA PARKS WAY to W O",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,159
B8-001338,2018/01/05 00:00:00+00,9999,"5401 SOUTH,MADONNA CARE CTR to PARKING LOT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,160
B8-001339,2018/01/05 00:00:00+00,1753,"N 48,TARGET DR to R",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,161
B8-001343,2018/01/05 00:00:00+00,1730,"S 48,UNION HILL RD to COUNTRY HILL RD",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,162
B8-001368,2018/01/05 00:00:00+00,1938,"B,S 25 to S 26",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,163
B8-001372,2018/01/05 00:00:00+00,1645,6800 S 70 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,164
B8-001381,2018/01/05 00:00:00+00,2043,"L,S 14 to S 16",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,165
B8-001392,2018/01/05 00:00:00+00,2145,"NORMAL,MYRTLE to S 48",INJURY,TURNING,3,2,NO,NO,NO,NO,NO,YES,NO,166
B8-001401,2018/01/05 00:00:00+00,9999,"C,S 19 to S 20",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,167
B8-001404,2018/01/05 00:00:00+00,2215,"N 14,INDIGO RD to MORTON",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,168
B8-001410,2018/01/06 00:00:00+00,9999,"HOLDREGE,N 70 to N 71",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,169
B8-001463,2018/01/06 00:00:00+00,9999,"SOUTHWOOD DR,GRASSRIDGE to NEBR HWY",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,170
