RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B5-000051,2015/01/01 00:00:00+00,9999,"N 84,EAGLE CREST RD to HOLDREGE",NON-INJ H&R,TURNING,1,0,NO,NO,NO,NO,NO,NO,NO,25
B5-003279,2015/01/13 00:00:00+00,9999,"E,CAPITOL AVE to S 21",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,26
B5-001388,2015/01/06 00:00:00+00,1025,S 70 at STACY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,27
B5-002554,2015/01/10 00:00:00+00,1850,"S 20,GARFIELD to SUMNER",INJURY H&R,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,28
B5-001101,2015/01/05 00:00:00+00,9999,"LEWIS,HOLLTORF to N PARK BLVD",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,29
B5-000059,2015/01/01 00:00:00+00,9999,"W PEACH,S CODDINGTON to SW 17",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,30
B5-003281,2015/01/13 00:00:00+00,1513,N 60 at N COTNER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,31
B5-001392,2015/01/06 00:00:00+00,9999,"S 48,BANCROFT to CALVERT",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,32
B5-002559,2015/01/10 00:00:00+00,1922,"ADAMS,N 10 to N 11",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,33
B5-000062,2015/01/01 00:00:00+00,9999,"CAPITOL PKWY W,S 9 to S FOLSOM",NON-INJ H&R,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,NO,NO,34
B5-001104,2015/01/05 00:00:00+00,855,N 40 at STARR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,35
B5-001400,2015/01/06 00:00:00+00,1110,"A,REGENCY to S 70",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,36
B5-002565,2015/01/10 00:00:00+00,1945,"S 70,MONTEREY to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,37
B5-000080,2015/01/01 00:00:00+00,344,"Y,N 30 to N 32",NON-INJ,PARKED,5,1,NO,NO,NO,NO,NO,NO,NO,38
B5-003306,2015/01/09 00:00:00+00,1735,N 48 at ST PAUL,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,39
B5-001106,2015/01/05 00:00:00+00,830,TWIN RIDGE at A,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,40
B5-001407,2015/01/06 00:00:00+00,1145,25 at O,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,41
B5-002572,2015/01/10 00:00:00+00,9999,"1550 S CODDINGTO,CATTLEMAN BANK to PARKING LOT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,42
B5-000081,2015/01/01 00:00:00+00,325,"S 48,ANTELOPE CREEK to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,43
B5-003316,2015/01/13 00:00:00+00,9999,"5700 N 33,PARKING LOT to",INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,44
B5-002594,2015/01/10 00:00:00+00,2100,"L,S 48 to S 50",INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,45
B5-001409,2015/01/06 00:00:00+00,1154,S 84 at PIONEERS,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,46
B5-000087,2015/01/01 00:00:00+00,430,"S 53,COOPER to STOCKWELL",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,47
B5-003319,2015/01/13 00:00:00+00,1637,"S 48,GLADE to NORMAL",NON-INJ H&R,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,48
B5-001843,2015/01/07 00:00:00+00,2317,O at 17,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,49
B5-001412,2015/01/06 00:00:00+00,1202,OLD CHENEY at NEBR HWY,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,50
B5-002602,2015/01/10 00:00:00+00,9999,"N 29,FAIR to POTTER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,51
B5-000098,2014/12/31 00:00:00+00,9999,"TURTLE CREEK RD,N 11 to N 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,52
B5-003329,2015/01/13 00:00:00+00,1731,"N 48,BENTON to CORNHUSKER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,53
B5-001891,2015/01/08 00:00:00+00,638,"MEADOW DALE,NORTHBOROUGH to YORK",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,54
B5-002650,2015/01/11 00:00:00+00,210,"GRATA BAR,PARKING to LOT",INJURY H&R,,2,1,NO,NO,NO,NO,NO,NO,NO,55
B5-000100,2015/01/01 00:00:00+00,618,"P,N 13 to N 14",NON-INJ,HEAD ON,2,0,NO,NO,NO,NO,NO,YES,NO,56
B5-001413,2015/01/06 00:00:00+00,1200,OLD CHENEY at NEBR HWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,57
B5-003334,2015/01/13 00:00:00+00,1744,"PINE LAKE,RIDGE RD to S 27",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,58
B5-001898,2015/01/08 00:00:00+00,704,"SOUTH,S 20 to S 22",NON-INJ H&R,RAN OFF ROAD,3,1,NO,NO,NO,NO,NO,YES,NO,59
B5-001434,2015/01/06 00:00:00+00,1329,"SW 9,W ROSE to W SUMNER",NON-INJ H&R,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,60
B5-002660,2015/01/11 00:00:00+00,251,"N 27,CLEVELAND to CORNHUSKER",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,61
B5-000102,2014/12/31 00:00:00+00,1930,KESSLER at FIENE,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,62
B5-003345,2015/01/13 00:00:00+00,1841,"VINE,N 40 to N 42",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,63
B5-001900,2015/01/08 00:00:00+00,742,VAN DORN at S 79,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,64
B5-000541,2015/01/02 00:00:00+00,2222,10 at O,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,65
B5-001445,2015/01/06 00:00:00+00,1423,S 40 at PIONEERS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,66
B5-002690,2015/01/11 00:00:00+00,715,"S 17,RYONS to SOUTH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,67
B5-000104,2015/01/01 00:00:00+00,9999,"S 12,D to E",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,68
B5-003362,2015/01/13 00:00:00+00,1935,RENTWORTH DR at BRIARPARK,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,69
B5-001902,2015/01/08 00:00:00+00,753,"SOUTH,S 26 to SHERIDAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,70
B5-000552,2015/01/02 00:00:00+00,2329,N at CENTENNIAL MALL,NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,71
B5-001448,2015/01/06 00:00:00+00,1422,N 65 at ADAMS,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,72
B5-000107,2015/01/01 00:00:00+00,9999,"GLADSTONE,N 51 to SOMERSET",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,73
B5-003414,2015/01/14 00:00:00+00,2200,"CANTERBURY,S WINCHESTER to SURREY",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,74
B5-002712,2015/01/11 00:00:00+00,1046,"O,84 to CITY LIMITS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,75
B5-001905,2015/01/08 00:00:00+00,800,"VAN DORN,S 19 to S 20",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,76
B5-000624,2015/01/03 00:00:00+00,719,"EUCLID,S 17 to S 19",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,77
B5-000117,2015/01/01 00:00:00+00,9999,"E,S 12 to S 13",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,78
B5-001450,2015/01/06 00:00:00+00,1437,"N 27,Q to R",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,79
B5-003419,2015/01/14 00:00:00+00,111,"S 48,CALVERT to HILLSIDE",NON-INJ,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,80
B5-001926,2015/01/08 00:00:00+00,1020,PIONEERS at S 40,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,81
B5-000625,2015/01/03 00:00:00+00,9999,"N 7,CHARLESTON to NEW HAMPSHIRE",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,82
B5-002713,2015/01/11 00:00:00+00,1050,S 80 at SOUTH,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,83
B5-001452,2015/01/06 00:00:00+00,1420,"S COTNER,A to ALDRICH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,84
B5-002723,2015/01/11 00:00:00+00,1235,"N 7,SUPERIOR to IRVING",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,85
B5-000145,2015/01/10 00:00:00+00,140,"SOMERSET,GLADSTONE to SHERWOOD",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,YES,NO,86
B5-003443,2015/01/14 00:00:00+00,724,"VINE,EASTBOROUGH to N 70",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,87
B5-001948,2015/01/08 00:00:00+00,1155,"FAIRFIELD,HARTLEY to N 20",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,88
B5-000644,2015/01/03 00:00:00+00,1017,S 18 at G,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,89
B5-001125,2015/01/05 00:00:00+00,1029,"N 70,BALLARD to HAVELOCK",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,90
B5-001453,2015/01/07 00:00:00+00,1443,"VAN DORN,S 53 to S 56",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,YES,91
B5-000148,2015/01/01 00:00:00+00,1149,"S 84,HORSESHOE to PINE LAKE",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,92
B5-002737,2015/01/11 00:00:00+00,1335,"N 27,CORNHUSKER to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,93
B5-003444,2015/01/14 00:00:00+00,728,N 10 at Q,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,94
B5-001949,2015/01/08 00:00:00+00,1208,I 80 at I 180,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,95
B5-000678,2015/01/03 00:00:00+00,1257,"O,19 to 20",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,96
B5-001459,2015/01/06 00:00:00+00,1514,"N 70,W to X",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,YES,NO,97
B5-002739,2015/01/11 00:00:00+00,1345,"SUPERIOR,N 21 to N 24",NON-INJ,SIDE SWIPE,3,0,NO,NO,NO,NO,NO,NO,NO,98
B5-000150,2015/01/01 00:00:00+00,9999,"WHITLOCK RD,S 29 to WHITLOCK PL",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,99
B5-003445,2015/01/14 00:00:00+00,740,S 56 at LILLIBRIDGE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,100
B5-001950,2015/01/08 00:00:00+00,1213,33 at O,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,101
B5-001471,2015/01/06 00:00:00+00,1558,"N 19,S to VINE",INJURY H&R,HEAD ON,2,1,NO,NO,NO,NO,NO,NO,NO,102
B5-002753,2015/01/11 00:00:00+00,1450,S 11 at G,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,103
B5-000689,2015/01/02 00:00:00+00,9999,"W BENTON,MICHAEL CR to NW 52",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,104
B5-000163,2015/01/01 00:00:00+00,1236,"N 33,HOLDREGE to STARR",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,105
B5-003452,2015/01/14 00:00:00+00,754,S 21 at RANDOLPH BYPASS,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,106
B5-001970,2015/01/08 00:00:00+00,1315,"N 34,Q to R",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,107
B5-001481,2015/01/06 00:00:00+00,1616,"S 48,J to RANDOLPH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,108
B5-002756,2015/01/11 00:00:00+00,1503,"S 27,TAMARIN RIDGE RD to GRAINGER PKWY",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,YES,NO,109
B5-000713,2015/01/03 00:00:00+00,1549,"SUPERIOR,N 21 to N 24",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,110
B5-000175,2015/01/01 00:00:00+00,1330,"GARFIELD,S 14 to S 15",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,111
B5-003453,2015/01/14 00:00:00+00,800,"N 22,U to VINE",NON-INJ,OVERHEAD,1,0,NO,NO,NO,NO,NO,YES,NO,112
B5-002003,2015/01/08 00:00:00+00,1520,N 27 at Q,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,YES,NO,113
B5-001496,2015/01/06 00:00:00+00,1700,"SUPERIOR,I 180 to N 1",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,114
B5-002760,2015/01/11 00:00:00+00,1530,N 47 at ST PAUL,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,115
B5-000715,2015/01/03 00:00:00+00,1549,"SUPERIOR,N 24 to N 27",INJURY,HEAD ON,3,2,NO,NO,NO,NO,NO,YES,NO,116
B5-000182,2015/01/01 00:00:00+00,1330,"WASHINGTON,S 11 to S 12",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,117
B5-003455,2015/01/14 00:00:00+00,815,"K,S 18 to S ANTELOPE VALL",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,118
B5-002019,2015/01/08 00:00:00+00,1605,"N 27,P to Q",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,119
B5-001501,2015/01/06 00:00:00+00,1700,"SUPERIOR,I 180 to N 1",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,120
B5-002764,2015/01/11 00:00:00+00,1520,"SOUTH,PEPPER to S 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,121
B5-000716,2015/01/03 00:00:00+00,1549,S CODDINGTON at W A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,122
B5-000199,2015/01/01 00:00:00+00,1533,S 17 at L,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,123
B5-003457,2015/01/14 00:00:00+00,9999,"WALKER,N 67 to N COTNER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,124
B5-002054,2015/01/08 00:00:00+00,9999,746 GOODHUE BLVD at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,125
B5-001505,2015/01/06 00:00:00+00,1744,S 8 at SUMNER,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,126
B5-002801,2015/01/11 00:00:00+00,1752,"ADAMS,N 54 to N 56",NON-INJ H&R,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,127
B5-000720,2015/01/03 00:00:00+00,1557,N 70 at P,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,128
B5-000202,2015/01/01 00:00:00+00,1543,N 56 at RUSSELL,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,129
B5-003468,2015/01/14 00:00:00+00,815,"W RIO,GLENHAVEN to PRESTWICK",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,130
B5-002088,2015/01/08 00:00:00+00,2205,"SALT CREEK RDWY,STADIUM to N 14",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,131
B5-002804,2015/01/11 00:00:00+00,1757,S 13 at M,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,132
B5-001506,2015/01/06 00:00:00+00,1736,S 9 at M,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,133
B5-000742,2015/01/03 00:00:00+00,1724,S 17 at N,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,134
B5-000209,2015/01/01 00:00:00+00,1625,N 29 at ORCHARD,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,135
B5-003470,2015/01/14 00:00:00+00,933,S 12 at N,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,136
B5-002090,2015/01/08 00:00:00+00,2130,22 at O,INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,137
B5-000749,2015/01/03 00:00:00+00,1755,S 84 at OLD CHENEY,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,138
B5-001516,2015/01/06 00:00:00+00,1805,S 38 at PINE LAKE,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,139
B5-002814,2015/01/11 00:00:00+00,1846,"O,27 to 28",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,140
B5-000215,2015/01/01 00:00:00+00,1640,"ST PAUL,N 33 to N 35",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,141
B5-003493,2015/01/14 00:00:00+00,1142,S 23 at A,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,142
B5-002091,2015/01/08 00:00:00+00,2223,S 12 at K,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,143
B5-001132,2015/01/05 00:00:00+00,1052,"STEVENS RIDGE,S 74 to MARLBOROUGH",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,144
B5-001527,2015/01/06 00:00:00+00,1835,O at RUSSWOOD PKWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,145
B5-000760,2015/01/03 00:00:00+00,1855,S 13 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,146
B5-002909,2015/01/12 00:00:00+00,650,"NEBR HWY,S 27 to SOUTHWOOD DR",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,147
B5-000231,2015/01/01 00:00:00+00,1758,N 84 at WINDMILL DR,INJURY,RIGHT ANGLE,2,3,NO,NO,NO,NO,NO,NO,NO,148
B5-003540,2015/01/14 00:00:00+00,1518,"ADAMS,CORNHUSKER to N 36",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,149
B5-002097,2015/01/08 00:00:00+00,2305,"PINE LAKE,S 14 to S 16",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,150
B5-001594,2015/01/07 00:00:00+00,145,"W CARRINE DR,W SALLY to NW 4",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,151
B5-000770,2015/01/03 00:00:00+00,1910,"N 11,BELMONT to CORNHUSKER",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,152
B5-002910,2015/01/12 00:00:00+00,712,"N 14,BUTLER to FURNAS",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,153
B5-000233,2015/01/01 00:00:00+00,1804,HOLDREGE at N COTNER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,154
B5-003554,2015/01/14 00:00:00+00,1612,"ADAMS,N 39 to N 40",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,155
B5-001617,2015/01/07 00:00:00+00,730,"O,25 to 26",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,156
B5-002150,2015/01/09 00:00:00+00,750,SUN VALLEY at OAK,NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,157
B5-002912,2015/01/12 00:00:00+00,709,N 14 at BUTLER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,158
B5-000773,2015/01/03 00:00:00+00,1945,"ADAMS,N 82 to N 84",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,159
B5-000301,2015/01/02 00:00:00+00,108,"S 53,ASCOT to LONDON",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,160
B5-003562,2015/01/14 00:00:00+00,1620,"JUDSON,N 20 to N 22",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,YES,NO,161
B5-001624,2015/01/01 00:00:00+00,9999,"W GARFIELD,SW 16 to W SUMNER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,162
B5-002155,2015/01/09 00:00:00+00,830,"CAPITOL PKWY,A to D",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,163
B5-002915,2015/01/12 00:00:00+00,745,"S 70,MONTEREY to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,164
B5-000774,2015/01/03 00:00:00+00,1945,N 27 at SUPERIOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,165
B5-000355,2015/01/02 00:00:00+00,9999,"3201 CODDINGTON,PIONEERS PARK to ENTRANCE",NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,166
B5-003576,2015/01/07 00:00:00+00,9999,555 S 70 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,167
B5-001659,2015/01/07 00:00:00+00,1125,"N 48,ADAMS to CLEVELAND",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,168
B5-002157,2015/01/06 00:00:00+00,1150,"N ANTELOPE VALL,SALT CREEK RDWY to N 17",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,169
B5-002923,2015/01/12 00:00:00+00,838,S 56 at LILLIBRIDGE,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,170
