RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B6-000140,2016/01/01 00:00:00+00,1002,"N 70,GLADSTONE to HOOK",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,23
B6-003977,2016/01/15 00:00:00+00,1315,S 17 at K,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,24
B6-004016,2016/01/15 00:00:00+00,1530,"N 27,HOLDREGE to STARR",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,25
B6-001704,2016/01/07 00:00:00+00,1345,"N 11,CORNHUSKER to SAUNDERS",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,26
B6-000171,2016/01/01 00:00:00+00,9999,"N 8 & JUDSON,MAX E ROPER to PARKING LOT",NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,27
B6-002794,2016/01/11 00:00:00+00,940,"O,46 to 48",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,28
B6-000930,2016/01/04 00:00:00+00,1400,575 S 10 at PARKING LOT,NON-INJ,,1,0,NO,NO,NO,NO,NO,YES,NO,29
B6-004022,2016/01/15 00:00:00+00,1510,"S 20,G to J",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,30
B6-002797,2016/01/11 00:00:00+00,947,"CAPITOL PKWY W,S 9 to S FOLSOM",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,31
B6-000932,2016/01/04 00:00:00+00,1900,2300 S 16 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,32
B6-004023,2016/01/15 00:00:00+00,1546,"S 40,NEBR HWY to SWEETBRIAR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,33
B6-004024,2016/01/15 00:00:00+00,1550,"N 10,CLAREMONT to MILITARY",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,YES,34
B6-001720,2016/01/07 00:00:00+00,1450,"N 27,WILDCAT DR to CITY LIMITS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,35
B6-000174,2016/01/01 00:00:00+00,1330,"S 56,OLD CHENEY to NEBR HWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,36
B6-000948,2016/01/04 00:00:00+00,2028,"W O,CAPITOL BEACH to NW ROUNDHOUSE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,37
B6-002805,2016/01/11 00:00:00+00,9999,"1215 ARAPAHOE,GARDEN BROOKE to APTS PARKING LOT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,38
B6-004030,2016/01/15 00:00:00+00,1600,N 52 at GARLAND,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,39
B6-001727,2016/01/07 00:00:00+00,1515,"I 80,N 27 to CITY LIMITS EAST",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,40
B6-000185,2016/01/01 00:00:00+00,9999,"B,S 8 to S 9",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,41
B6-000962,2016/01/04 00:00:00+00,2117,17 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,42
B6-002808,2016/01/11 00:00:00+00,1022,S 40 at NEBR HWY,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,43
B6-004045,2016/01/15 00:00:00+00,9999,"WHITE CAP BAY,SHORE FRONT DR to DEAD END",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,44
B6-000196,2016/01/01 00:00:00+00,1453,152 N 32 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,45
B6-001729,2016/01/07 00:00:00+00,1521,"N 48,R to VINE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,46
B6-004050,2016/01/15 00:00:00+00,9999,2960 PINE LAKE at SCHEELS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,47
B6-000201,2016/01/01 00:00:00+00,1519,"A,S 27 to S 28",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,48
B6-001732,2016/01/07 00:00:00+00,1529,"I 80,NW 12 to HOMESTEAD EXP",INJURY,RAN OFF ROAD,1,2,NO,NO,NO,NO,NO,NO,NO,49
B6-002841,2016/01/11 00:00:00+00,1251,S 70 at A,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,50
B6-001033,2016/01/05 00:00:00+00,740,"W O,HOMESTEAD EXP to W 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,51
B6-004061,2016/01/15 00:00:00+00,1720,S 40 at NORMAL,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,52
B6-000208,2016/01/01 00:00:00+00,1524,HAVELOCK at CORNHUSKER,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,53
B6-001036,2016/01/05 00:00:00+00,745,"NEBR HWY,S 14 to BROWER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,54
B6-002845,2016/01/11 00:00:00+00,9999,VAN DORN at NORMAL,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,55
B6-001737,2016/01/07 00:00:00+00,1532,"SIOUX,S 14 to S 16",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,56
B6-004071,2016/01/15 00:00:00+00,1747,HWY 34 at FALLBROOK BLVD,INJURY,TURNING,3,5,NO,NO,NO,NO,NO,NO,NO,57
B6-002852,2016/01/11 00:00:00+00,1347,"S 10,K to LINCOLN MALL",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,58
B6-001037,2016/01/05 00:00:00+00,1036,"PINE LAKE,S 16 to S 20",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,59
B6-001740,2016/01/07 00:00:00+00,1549,CHERRYWOOD at O,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,60
B6-000219,2016/01/01 00:00:00+00,1550,N 63 at GLADSTONE,NON-INJ H&R,RIGHT ANGLE,2,50,NO,NO,NO,NO,NO,YES,NO,61
B6-004072,2016/01/15 00:00:00+00,1749,"S 27,B to C",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,62
B6-001099,2016/01/05 00:00:00+00,730,"ATLAS,N GATE RD to N 20",NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,YES,63
B6-002886,2016/01/11 00:00:00+00,1545,"MONTEREY,PACIFIC to S 70",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,YES,64
B6-004083,2016/01/15 00:00:00+00,1735,"N 27,FAIRFIELD to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,65
B6-000230,2016/01/01 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,1,0,NO,NO,NO,NO,NO,NO,NO,66
B6-001747,2016/01/07 00:00:00+00,1555,N 21 at SUPERIOR,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,67
B6-004089,2016/01/15 00:00:00+00,9999,"N 3,KNOX to NELSON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,68
B6-001115,2016/01/05 00:00:00+00,1253,14 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,69
B6-002892,2016/01/11 00:00:00+00,1625,S 8 at C,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,70
B6-000249,2016/01/01 00:00:00+00,1815,"W O,CAPITOL BEACH to NW ROUNDHOUSE",INJURY,DRIVEWAY,2,3,NO,NO,NO,NO,NO,NO,NO,71
B6-001751,2016/01/07 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,72
B6-004099,2016/01/15 00:00:00+00,1922,N 9 at Q,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,73
B6-002902,2016/01/11 00:00:00+00,1650,"VINE,N 55 to N 56",INJURY,REAR END,5,3,NO,NO,NO,NO,NO,NO,NO,74
B6-001128,2016/01/05 00:00:00+00,1349,9 at O,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,75
B6-004174,2016/01/15 00:00:00+00,2257,"N ANTELOPE VALL,MILITARY to SALT CREEK RDWY",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,76
B6-002905,2016/01/11 00:00:00+00,1700,"S 84,FOXTAIL DR to CHENEY RIDGE RD",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,77
B6-001134,2016/01/05 00:00:00+00,1400,9 at O,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,78
B6-001789,2016/01/07 00:00:00+00,1734,"N 1,IRVING to SUPERIOR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,79
B6-000250,2016/01/01 00:00:00+00,1825,"N 84,CORNHUSKER to FLETCHER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,80
B6-002178,2016/01/08 00:00:00+00,1855,S 56 at PIONEERS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,81
B6-004190,2016/01/16 00:00:00+00,5,"N 42,ADAMS to CLEVELAND",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,82
B6-001802,2016/01/07 00:00:00+00,1801,"LOGAN,N 66 to N 67",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,83
B6-000273,2016/01/01 00:00:00+00,2055,"N 27,FAIRFIELD to KNOX",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,84
B6-002187,2016/01/08 00:00:00+00,9999,"BROWNING,S 34 to S 32",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,85
B6-001135,2016/01/05 00:00:00+00,1419,N 60 at CLEVELAND,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,86
B6-002906,2016/01/11 00:00:00+00,1700,"PIONEERS,S 48 to S 49",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,87
B6-004196,2016/01/16 00:00:00+00,20,"CORNHUSKER,N 23 to N 27",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,88
B6-001876,2016/01/07 00:00:00+00,2300,N 27 at FAIRFIELD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,89
B6-000301,2016/01/01 00:00:00+00,2307,S 40 at DUXHALL DR,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,90
B6-002193,2016/01/08 00:00:00+00,1950,"SOUTH,S 17 to S 18",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,91
B6-004211,2016/01/16 00:00:00+00,9999,"ADAMS,N 36 to N 38",FATAL,RAN OFF ROAD,1,2,NO,NO,NO,NO,NO,NO,NO,92
B6-001884,2016/01/07 00:00:00+00,2330,"W FLETCHER,NW 12 to NW 13",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,93
B6-000304,2016/01/01 00:00:00+00,2316,56 at O,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,94
B6-002196,2016/01/08 00:00:00+00,2005,"PIONEERS,STACY to LUCILE",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,95
B6-001139,2016/01/05 00:00:00+00,1445,S 56 at A,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,96
B6-002911,2016/01/11 00:00:00+00,1720,S 9 at HARRISON,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,97
B6-004255,2016/01/16 00:00:00+00,1029,S 16 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,98
B6-000344,2016/01/02 00:00:00+00,537,"IDYLWILD,IDYLWILD to ORCHARD",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,99
B6-002199,2016/01/08 00:00:00+00,2005,"S 48,ANTELOPE CREEK to VAN DORN",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,100
B6-001145,2016/01/05 00:00:00+00,1512,SMITH at HARRISON,INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,101
B6-001887,2016/01/07 00:00:00+00,9999,"N,S 8 to S 9",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,102
B6-002913,2016/01/11 00:00:00+00,1630,"W ARLINGTON,SW DEREK AVE to",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,103
B6-004260,2016/01/16 00:00:00+00,830,"M,S 40 to S 42",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,104
B6-002926,2016/01/11 00:00:00+00,1820,S 11 at G,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,105
B6-001160,2016/01/05 00:00:00+00,1550,"S 70,SHAMROCK to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,106
B6-004261,2016/01/16 00:00:00+00,1110,"N 33,R to S",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,107
B6-004264,2016/01/16 00:00:00+00,1125,S 24 at VAN DORN,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,108
B6-001910,2016/01/08 00:00:00+00,9999,"S 12,PLUM to SOUTH",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,109
B6-002201,2016/01/08 00:00:00+00,2025,"S 84,WENDELL WAY to OLD CHENEY",NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,110
B6-000397,2016/01/02 00:00:00+00,9999,"S 27,MANSE to SHERIDAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,111
B6-001172,2016/01/05 00:00:00+00,9999,"S 25,J to L",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,112
B6-002950,2016/01/11 00:00:00+00,1930,2601 N 70 at YMCA,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,113
B6-004275,2016/01/16 00:00:00+00,1150,"CORNHUSKER,N 84 to CITY LIMITS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,114
B6-002204,2016/01/08 00:00:00+00,2021,"VINE,N 44 to N 45",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,115
B6-000412,2016/01/02 00:00:00+00,1253,"O,63 to 66",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,116
B6-001948,2016/01/08 00:00:00+00,545,"KIMCO PL,N 27 to STATE FAIR PARK",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,117
B6-004278,2016/01/16 00:00:00+00,1200,"LEIGHTON,N 62 to N 63",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,118
B6-001202,2016/01/05 00:00:00+00,1814,S 27 at LAFAYETTE,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,119
B6-000413,2016/01/02 00:00:00+00,1248,S 40 at SWEETBRIAR,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,120
B6-002954,2016/01/11 00:00:00+00,2030,S ANTELOPE VALL at L,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,121
B6-001950,2016/01/08 00:00:00+00,622,"VINE,N 40 to N 42",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,122
B6-002209,2016/01/08 00:00:00+00,2045,"OLD CHENEY,THE KNOLLS to TIPPERARY",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,123
B6-004291,2016/01/16 00:00:00+00,1257,"N 27,ENTERPRISE to FOLKWAYS",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,124
B6-000419,2016/01/02 00:00:00+00,1353,"NEBR HWY,S 27 to SOUTHWOOD DR",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,125
B6-004310,2016/01/16 00:00:00+00,1350,"NW 42,W KEARNEY to W SEWARD",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,126
B6-002217,2016/01/08 00:00:00+00,9999,2701 N 27 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,127
B6-001956,2016/01/08 00:00:00+00,710,S 70 at TETON,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,128
B6-002973,2016/01/11 00:00:00+00,2218,VAN DORN at PARK BLVD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,129
B6-001205,2016/01/05 00:00:00+00,1808,"O,CANOPY ST to 8",INJURY,PARKED,4,1,NO,NO,NO,NO,NO,YES,NO,130
B6-004330,2016/01/16 00:00:00+00,1522,"DUDLEY,N 32 to N 33",NON-INJ H&R,RIGHT ANGLE,1,0,NO,YES,NO,NO,NO,NO,NO,131
B6-002218,2016/01/08 00:00:00+00,2110,N 56 at ADAMS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,132
B6-001957,2016/01/08 00:00:00+00,720,"BLACKSTONE RD,FOXTAIL DR to WHITE HALL LN",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,YES,133
B6-000428,2016/01/02 00:00:00+00,1433,S 27 at CAPITOL PKWY,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,NO,NO,134
B6-002999,2016/01/11 00:00:00+00,9999,UNKNOWN at -,INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,135
B6-001222,2016/01/05 00:00:00+00,1853,6100 O at PARKING LOT,INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,136
B6-004344,2016/01/16 00:00:00+00,1610,"S 10,HARRISON to HILL ST",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,137
B6-001958,2016/01/08 00:00:00+00,721,S 45 at OLD CHENEY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,138
B6-000437,2016/01/02 00:00:00+00,1525,"CAPITOL PKWY,J to RANDOLPH",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,139
B6-002226,2016/01/08 00:00:00+00,2200,"S 27,TIERRA to TIPPERARY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,140
B6-003031,2016/01/12 00:00:00+00,752,"A,S 35 to S 37",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,141
B6-001255,2016/01/05 00:00:00+00,9999,200 N 66 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,142
B6-004346,2016/01/16 00:00:00+00,1618,"MEDINAH DR,S 90 to S 93",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,143
B6-000438,2016/01/02 00:00:00+00,1527,"HAVELOCK,N 62 to N 63",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,144
B6-002230,2016/01/08 00:00:00+00,2210,"S 27,NEBR HWY to WOODS BLVD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,145
B6-001966,2016/01/08 00:00:00+00,735,"S 84,FOXTAIL DR to CHENEY RIDGE RD",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,146
B6-003035,2016/01/12 00:00:00+00,800,S 48 at PIONEERS,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,147
B6-001270,2016/01/05 00:00:00+00,2320,"S 48,M to O",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,148
B6-004347,2016/01/16 00:00:00+00,1621,"N 48,R to VINE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,149
B6-002232,2016/01/08 00:00:00+00,2214,"S 14,MOCKINGBIRD N to PINE LAKE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,150
B6-001967,2016/01/08 00:00:00+00,807,"SUPERIOR,I 180 to I 180",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,151
B6-000439,2016/01/02 00:00:00+00,1431,4700 N 27 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,152
B6-004370,2016/01/16 00:00:00+00,1741,"O,CANOPY ST to 8",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,153
B6-001968,2016/01/08 00:00:00+00,741,"PINE LAKE,S 56 to S 59 CR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,154
B6-000443,2016/01/02 00:00:00+00,1541,"CAPITOL PKWY,J to RANDOLPH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,155
B6-002237,2016/01/08 00:00:00+00,2115,"LARAMIE TR,BRIDGER to NW 1",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,156
B6-003049,2016/01/12 00:00:00+00,906,"A,S 37 to S 38",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,157
B6-001307,2016/01/06 00:00:00+00,9999,"S 29,N to O",INJURY H&R,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,158
B6-004473,2016/01/17 00:00:00+00,51,N 33 at ORCHARD,INJURY H&R,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,159
B6-004374,2016/01/16 00:00:00+00,1750,N 14 at SUPERIOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,160
B6-000456,2016/01/02 00:00:00+00,9999,GATEWAY MALL at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,161
B6-004375,2016/01/16 00:00:00+00,1808,S 70 at NEBR HWY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,162
B6-002247,2016/01/08 00:00:00+00,2240,"S 27,CINDY to OLD CHENEY",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,163
B6-001969,2016/01/08 00:00:00+00,715,S 56 at RED ROCK LN,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,164
B6-004383,2016/01/16 00:00:00+00,1840,"N ANTELOPE VALL,O to P",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,165
B6-002251,2016/01/08 00:00:00+00,9999,"PARK AV,S 10 to S 11",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,166
B6-001970,2016/01/08 00:00:00+00,809,N 10 at P,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,167
B6-000481,2016/01/02 00:00:00+00,1825,"SUN VALLEY,W O to W P",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,168
B6-004480,2016/01/17 00:00:00+00,44,"N 61,ADAMS to CLEVELAND",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,169
B6-003058,2016/01/12 00:00:00+00,930,NW 8 at W SAUNDERS,INJURY H&R,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,170
