OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageCars,GarageArea,SalePrice
5,1920,1962,3.0,3.0,1008.0,1060,1245,1,3.0,6,0.0,1.0,1.0,315.0,0.0
2,1923,1970,3.0,2.0,678.0,832,832,1,3.0,5,4.0,1.0,2.0,780.0,0.0
8,1900,2003,4.0,3.0,930.0,930,1566,2,4.0,7,0.0,1.0,1.0,288.0,0.0
8,1890,2002,4.0,2.0,346.0,1157,2268,3,4.0,7,0.0,1.0,2.0,624.0,0.0
5,1910,1950,3.0,3.0,840.0,1128,2256,2,2.0,12,0.0,0.0,0.0,0.0,0.0
6,1922,1994,3.0,2.0,738.0,868,1470,1,3.0,6,0.0,1.0,2.0,624.0,0.0
5,1950,1997,3.0,3.0,988.0,1030,1612,1,3.0,7,0.0,1.0,1.0,363.0,0.0
7,1922,2005,3.0,4.0,1108.0,1160,2068,1,4.0,8,4.0,1.0,1.0,315.0,0.0
4,1925,1950,3.0,3.0,765.0,765,765,1,4.0,4,0.0,1.0,1.0,200.0,0.0
6,1939,1950,3.0,3.0,608.0,608,1132,1,3.0,5,0.0,1.0,1.0,240.0,0.0
6,1940,1950,3.0,3.0,572.0,848,1196,1,3.0,6,4.0,1.0,2.0,576.0,0.0
5,1942,1950,3.0,3.0,835.0,955,1453,1,4.0,7,2.0,1.0,1.0,240.0,0.0
6,1948,1950,3.0,3.0,780.0,780,1416,1,3.0,6,0.0,1.0,1.0,312.0,0.0
5,1936,1980,3.0,3.0,528.0,548,1040,1,3.0,5,0.0,3.0,2.0,624.0,0.0
5,1930,1950,3.0,3.0,928.0,928,1536,2,3.0,7,4.0,1.0,2.0,480.0,0.0
6,1923,1950,3.0,2.0,1124.0,1068,1068,1,3.0,5,4.0,1.0,1.0,288.0,0.0
4,1915,1950,3.0,3.0,888.0,888,1962,1,3.0,9,3.0,1.0,2.0,572.0,0.0
6,1912,2009,4.0,3.0,780.0,780,1560,1,4.0,7,0.0,0.0,0.0,0.0,0.0
6,1920,1993,3.0,3.0,662.0,662,1324,1,3.0,6,0.0,1.0,1.0,180.0,0.0
5,1959,1959,3.0,4.0,1422.0,1675,1675,2,3.0,8,4.0,1.0,1.0,365.0,0.0
5,1917,1950,3.0,4.0,689.0,725,1224,1,3.0,6,0.0,1.0,1.0,180.0,0.0
5,1915,1950,2.0,3.0,1212.0,1212,1392,1,3.0,6,0.0,0.0,0.0,0.0,0.0
6,1940,1950,3.0,2.0,600.0,600,919,1,3.0,5,0.0,1.0,1.0,231.0,0.0
4,1907,1950,3.0,3.0,707.0,942,1884,1,3.0,7,0.0,0.0,0.0,0.0,0.0
5,1910,1950,3.0,3.0,856.0,936,1680,2,3.0,7,4.0,1.0,2.0,450.0,0.0
4,1967,1967,2.0,3.0,1832.0,1832,1832,2,3.0,8,0.0,0.0,0.0,0.0,0.0
5,1966,2008,3.0,3.0,864.0,892,892,1,4.0,5,0.0,1.0,1.0,416.0,0.0
5,1968,1968,3.0,3.0,864.0,864,864,1,3.0,4,0.0,1.0,1.0,280.0,0.0
5,1978,1978,3.0,4.0,1319.0,1373,1373,1,3.0,5,3.0,3.0,2.0,591.0,0.0
5,1968,1968,3.0,3.0,720.0,720,1440,1,3.0,7,3.0,1.0,2.0,480.0,0.0
7,1977,2001,4.0,4.0,1420.0,1483,1483,1,3.0,4,3.0,2.0,2.0,690.0,0.0
4,1927,1950,3.0,2.0,660.0,756,756,1,3.0,4,0.0,1.0,2.0,440.0,0.0
6,1978,1992,3.0,4.0,1117.0,1117,1981,2,4.0,8,3.0,3.0,2.0,522.0,0.0
3,1938,1990,3.0,3.0,972.0,1052,1610,2,2.0,8,4.0,2.0,1.0,480.0,0.0
6,1950,1987,3.0,3.0,663.0,1074,1074,1,4.0,6,3.0,1.0,1.0,467.0,0.0
4,1947,1979,3.0,3.0,756.0,1169,1531,1,3.0,8,3.0,1.0,1.0,209.0,0.0
5,1954,1998,3.0,3.0,1172.0,1172,1172,1,3.0,5,0.0,3.0,1.0,366.0,0.0
7,2009,2010,4.0,4.0,1508.0,1508,1508,1,4.0,5,3.0,2.0,2.0,572.0,0.0
5,1964,1964,3.0,3.0,1250.0,1298,1298,2,3.0,5,0.0,1.0,2.0,504.0,0.0
7,1987,1987,4.0,4.0,1433.0,1433,1433,1,4.0,4,3.0,2.0,2.0,528.0,0.0
6,1993,1993,4.0,4.0,946.0,964,1802,2,4.0,8,4.0,2.0,4.0,1017.0,0.0
7,2010,2010,4.0,4.0,1222.0,1222,1222,2,4.0,6,0.0,2.0,2.0,615.0,0.0
6,1900,1993,3.0,2.0,676.0,831,1445,2,3.0,6,0.0,1.0,2.0,484.0,0.0
5,1996,1996,3.0,4.0,870.0,965,965,1,3.0,4,0.0,1.0,2.0,580.0,0.0
7,1997,1998,3.0,4.0,878.0,892,1692,2,3.0,8,3.0,2.0,2.0,513.0,0.0
5,1977,2004,4.0,4.0,1026.0,1026,1026,1,3.0,5,0.0,1.0,1.0,308.0,0.0
5,1972,1972,3.0,3.0,876.0,876,876,1,3.0,5,0.0,1.0,2.0,484.0,0.0
8,2003,2003,4.0,4.0,1978.0,1978,1978,2,4.0,8,4.0,2.0,3.0,850.0,0.0
7,1997,1997,4.0,4.0,1040.0,1044,2098,2,4.0,9,3.0,3.0,2.0,621.0,0.0
6,2003,2003,4.0,4.0,848.0,848,848,1,4.0,4,0.0,3.0,2.0,420.0,0.0
3,1945,2007,3.0,0.0,0.0,640,640,1,3.0,5,0.0,1.0,1.0,240.0,0.0
5,1954,1954,3.0,2.0,381.0,992,992,1,3.0,6,0.0,1.0,1.0,319.0,0.0
5,1968,1968,3.0,4.0,1196.0,1196,1196,1,3.0,6,0.0,2.0,1.0,336.0,0.0
4,1948,1950,3.0,3.0,744.0,792,1120,1,2.0,5,0.0,1.0,2.0,480.0,0.0
6,1975,1975,3.0,3.0,1008.0,1096,1096,1,3.0,5,2.0,1.0,1.0,352.0,0.0
4,1958,1958,3.0,3.0,960.0,960,960,1,3.0,5,0.0,0.0,0.0,0.0,0.0
5,1924,1999,3.0,3.0,1107.0,1296,1296,2,2.0,5,4.0,1.0,1.0,260.0,0.0
6,1939,1950,3.0,3.0,856.0,856,856,1,3.0,4,4.0,1.0,2.0,399.0,0.0
4,1967,1967,3.0,0.0,0.0,862,2650,3,3.0,10,0.0,0.0,0.0,0.0,0.0
5,1931,1950,3.0,3.0,894.0,894,1666,1,3.0,7,4.0,0.0,0.0,0.0,0.0
7,1941,1985,4.0,4.0,1528.0,1225,2133,1,3.0,8,3.0,1.0,1.0,312.0,0.0
5,1950,1991,3.0,3.0,1032.0,1102,2177,2,3.0,11,0.0,1.0,2.0,484.0,0.0
7,1994,2007,3.0,4.0,423.0,896,1652,2,4.0,6,0.0,2.0,2.0,473.0,0.0
8,1989,1989,4.0,4.0,982.0,1034,1034,1,4.0,4,3.0,3.0,2.0,598.0,0.0
8,1989,1989,4.0,4.0,1191.0,1191,1191,2,4.0,5,3.0,1.0,2.0,531.0,0.0
2,1941,1950,3.0,3.0,480.0,540,540,1,3.0,4,0.0,1.0,1.0,200.0,0.0
6,1921,1975,3.0,3.0,629.0,727,1107,1,3.0,5,0.0,1.0,1.0,625.0,0.0
4,1896,1950,2.0,3.0,756.0,952,952,1,3.0,5,0.0,2.0,1.0,330.0,0.0
8,2004,2005,4.0,5.0,1594.0,1646,1646,2,4.0,5,4.0,3.0,2.0,525.0,0.0
8,1998,1999,4.0,4.0,1049.0,1036,1916,2,4.0,8,3.0,1.0,3.0,741.0,0.0
6,1977,1977,3.0,3.0,1243.0,1285,1285,2,4.0,6,2.0,1.0,2.0,473.0,0.0
6,1976,1976,3.0,3.0,1958.0,2048,2048,3,3.0,9,0.0,1.0,2.0,776.0,0.0
7,2008,2008,4.0,4.0,1336.0,1346,1346,2,4.0,6,3.0,3.0,3.0,660.0,0.0
7,2009,2010,4.0,4.0,1214.0,1214,1214,2,4.0,6,0.0,2.0,2.0,520.0,0.0
5,2006,2007,3.0,4.0,384.0,744,1444,2,3.0,7,0.0,3.0,2.0,400.0,0.0
5,1965,1977,3.0,3.0,1068.0,1264,1264,1,3.0,7,3.0,1.0,2.0,528.0,0.0
5,2004,2005,3.0,5.0,1430.0,1430,1430,2,4.0,7,0.0,2.0,2.0,624.0,0.0
5,1999,1999,3.0,4.0,1344.0,1344,1344,2,3.0,7,4.0,1.0,2.0,686.0,0.0
5,1973,1973,3.0,4.0,945.0,945,945,1,3.0,5,1.0,2.0,1.0,253.0,0.0
4,1970,1970,3.0,3.0,546.0,546,1092,1,3.0,5,0.0,0.0,0.0,0.0,0.0
4,1970,1970,3.0,3.0,546.0,546,1092,1,3.0,5,0.0,0.0,0.0,0.0,0.0
4,1972,1972,3.0,3.0,546.0,546,1092,1,3.0,5,0.0,1.0,1.0,286.0,0.0
5,1971,2004,3.0,3.0,864.0,874,874,1,3.0,5,0.0,1.0,1.0,352.0,0.0
5,1984,1984,3.0,4.0,833.0,833,833,1,4.0,5,0.0,1.0,2.0,495.0,0.0
5,1985,1986,3.0,3.0,1216.0,1216,2432,4,3.0,10,0.0,1.0,2.0,616.0,0.0
5,1991,1991,3.0,4.0,624.0,624,1274,1,3.0,6,0.0,1.0,2.0,576.0,0.0
5,1969,1969,3.0,3.0,864.0,864,1479,2,3.0,8,0.0,3.0,1.0,275.0,0.0
8,1994,1995,4.0,4.0,1679.0,1803,1803,2,4.0,6,3.0,1.0,2.0,482.0,0.0
6,1993,1994,4.0,4.0,1152.0,1152,1797,2,4.0,7,2.0,3.0,2.0,616.0,0.0
6,1956,1956,3.0,2.0,882.0,882,882,1,3.0,5,0.0,1.0,1.0,502.0,0.0
6,1974,1974,3.0,3.0,1434.0,1434,1434,2,3.0,7,4.0,2.0,2.0,528.0,0.0
6,1997,1997,3.0,4.0,945.0,945,1608,2,3.0,7,3.0,3.0,2.0,470.0,0.0
8,2003,2003,4.0,4.0,1008.0,1008,2283,2,4.0,9,4.0,3.0,3.0,632.0,0.0
7,1996,1997,3.0,4.0,384.0,958,1628,2,3.0,7,3.0,3.0,2.0,390.0,0.0
8,2004,2005,4.0,5.0,2208.0,2522,2522,2,4.0,8,4.0,3.0,2.0,564.0,0.0
8,1998,1998,3.0,4.0,1418.0,1478,1478,2,3.0,5,0.0,3.0,2.0,495.0,0.0
8,1995,1996,4.0,4.0,1587.0,1734,1734,2,4.0,6,0.0,2.0,2.0,528.0,0.0
7,1998,1998,4.0,4.0,384.0,751,1382,2,3.0,7,3.0,3.0,2.0,396.0,0.0
6,1998,1999,4.0,4.0,952.0,952,1636,2,3.0,7,3.0,3.0,2.0,440.0,0.0
6,1994,1995,3.0,4.0,707.0,707,1516,2,4.0,7,3.0,3.0,2.0,409.0,0.0
6,1993,1993,3.0,4.0,1181.0,1190,1190,2,4.0,6,3.0,1.0,2.0,430.0,0.0
5,1977,1977,3.0,4.0,1122.0,946,1934,2,3.0,6,3.0,1.0,2.0,567.0,0.0
7,1978,1978,3.0,4.0,832.0,1154,2050,2,4.0,8,3.0,2.0,2.0,529.0,0.0
6,1978,1986,3.0,3.0,1427.0,1671,1671,2,3.0,7,3.0,2.0,2.0,484.0,0.0
7,1980,1991,3.0,4.0,1043.0,1539,2673,2,4.0,9,3.0,2.0,2.0,441.0,0.0
6,1978,1998,3.0,3.0,1140.0,1707,1707,2,3.0,7,3.0,3.0,2.0,479.0,0.0
7,2003,2003,4.0,4.0,926.0,1016,1884,2,5.0,7,5.0,2.0,2.0,581.0,0.0
8,2000,2001,4.0,4.0,1058.0,1058,1874,2,4.0,7,3.0,3.0,2.0,588.0,0.0
8,2002,2002,4.0,4.0,972.0,972,1811,2,4.0,7,4.0,2.0,2.0,565.0,0.0
5,1975,1975,3.0,4.0,1621.0,1621,1621,2,3.0,7,2.0,2.0,2.0,478.0,0.0
6,1974,1974,3.0,3.0,1116.0,1116,1116,2,3.0,6,3.0,2.0,2.0,528.0,0.0
7,1975,1975,3.0,3.0,1176.0,1193,1193,2,3.0,5,3.0,1.0,2.0,506.0,0.0
5,1970,1970,3.0,3.0,1180.0,1180,1180,1,3.0,6,0.0,2.0,2.0,477.0,0.0
5,1971,1971,3.0,4.0,1043.0,1050,1050,1,3.0,6,0.0,1.0,1.0,336.0,0.0
4,1970,1970,3.0,3.0,864.0,864,864,1,3.0,5,0.0,1.0,2.0,576.0,0.0
4,1971,2006,3.0,3.0,864.0,864,864,1,3.0,5,0.0,1.0,2.0,576.0,0.0
6,1973,1973,3.0,3.0,483.0,483,987,1,3.0,5,0.0,1.0,1.0,264.0,0.0
6,1972,1972,3.0,3.0,483.0,483,987,1,3.0,5,0.0,1.0,1.0,288.0,0.0
6,1976,1976,3.0,4.0,804.0,804,1548,2,3.0,7,3.0,2.0,2.0,440.0,0.0
7,1975,1975,3.0,4.0,1057.0,1055,1055,2,3.0,4,2.0,2.0,2.0,440.0,0.0
6,1977,1977,3.0,4.0,855.0,855,1456,2,3.0,6,3.0,1.0,2.0,440.0,0.0
6,1978,1978,3.0,4.0,804.0,804,1548,2,3.0,7,3.0,1.0,2.0,440.0,0.0
6,1978,1978,4.0,4.0,855.0,855,1456,2,3.0,6,3.0,3.0,2.0,440.0,0.0
7,1976,1976,3.0,3.0,836.0,836,836,1,3.0,5,0.0,1.0,1.0,345.0,0.0
5,1966,2004,4.0,3.0,864.0,1120,1120,1,3.0,5,3.0,2.0,2.0,656.0,0.0
9,2007,2007,5.0,5.0,1776.0,1794,2772,3,5.0,10,4.0,3.0,3.0,754.0,0.0
9,2009,2009,4.0,5.0,1365.0,1365,2690,2,5.0,8,4.0,2.0,3.0,864.0,0.0
9,2008,2008,5.0,5.0,2020.0,2020,2020,2,5.0,7,4.0,2.0,3.0,896.0,0.0
10,2007,2007,5.0,5.0,2630.0,2674,2674,2,5.0,8,4.0,3.0,3.0,762.0,0.0
9,2008,2008,5.0,5.0,1736.0,1736,1736,2,5.0,7,4.0,2.0,3.0,834.0,0.0
8,2004,2005,4.0,5.0,1782.0,1782,1782,2,4.0,7,4.0,3.0,3.0,932.0,0.0
8,2007,2007,4.0,5.0,1508.0,1508,2520,2,5.0,10,4.0,3.0,3.0,640.0,0.0
9,2008,2008,5.0,5.0,1739.0,1743,1743,2,5.0,8,4.0,2.0,3.0,927.0,0.0
9,2006,2006,4.0,5.0,1504.0,1531,1531,2,5.0,6,4.0,3.0,3.0,700.0,0.0
9,2008,2008,5.0,5.0,1774.0,1808,1808,2,5.0,7,4.0,3.0,3.0,850.0,0.0
7,2003,2004,4.0,4.0,1760.0,1760,1760,2,4.0,8,4.0,3.0,2.0,583.0,0.0
9,2003,2003,4.0,5.0,2452.0,2452,2452,2,5.0,10,4.0,3.0,3.0,886.0,0.0
8,2003,2004,4.0,4.0,1082.0,1105,2400,3,4.0,10,4.0,3.0,3.0,730.0,0.0
8,2006,2006,4.0,4.0,1598.0,1606,1606,2,4.0,6,4.0,2.0,3.0,871.0,0.0
6,2005,2005,4.0,4.0,1358.0,1358,1358,2,4.0,6,4.0,2.0,2.0,484.0,0.0
6,2005,2005,4.0,4.0,1306.0,1306,1306,2,4.0,5,4.0,2.0,2.0,624.0,0.0
7,2007,2008,4.0,4.0,1350.0,1358,1358,2,4.0,6,4.0,2.0,2.0,484.0,0.0
10,2004,2005,5.0,5.0,2492.0,2492,2492,2,5.0,8,5.0,3.0,3.0,949.0,0.0
8,2003,2004,4.0,5.0,2200.0,2200,2200,2,5.0,8,4.0,3.0,3.0,685.0,0.0
9,2008,2009,5.0,5.0,1884.0,1884,1884,2,5.0,6,4.0,3.0,2.0,649.0,0.0
9,2008,2008,5.0,5.0,1451.0,1456,1456,2,5.0,6,4.0,2.0,2.0,539.0,0.0
8,2002,2003,4.0,5.0,1712.0,1712,1712,2,4.0,8,4.0,2.0,3.0,701.0,0.0
7,2003,2003,4.0,4.0,1405.0,1405,1405,2,4.0,6,3.0,2.0,2.0,478.0,0.0
7,2005,2005,4.0,4.0,728.0,728,1456,2,4.0,8,4.0,3.0,2.0,390.0,0.0
6,2005,2006,4.0,4.0,745.0,745,1490,2,4.0,7,4.0,3.0,2.0,392.0,0.0
7,2005,2006,4.0,4.0,1220.0,1220,1220,2,4.0,5,4.0,3.0,2.0,397.0,0.0
7,2004,2005,4.0,4.0,384.0,744,1374,2,4.0,6,4.0,3.0,2.0,400.0,0.0
7,2004,2005,4.0,4.0,868.0,868,1630,2,4.0,7,4.0,3.0,2.0,436.0,0.0
7,2004,2004,4.0,4.0,846.0,846,1594,2,4.0,7,4.0,3.0,2.0,434.0,0.0
7,2003,2003,4.0,4.0,782.0,806,1489,2,4.0,8,4.0,3.0,2.0,400.0,0.0
7,2003,2003,4.0,4.0,698.0,698,1342,2,4.0,7,3.0,3.0,2.0,393.0,0.0
8,2002,2002,4.0,5.0,870.0,878,2004,2,4.0,8,4.0,3.0,3.0,644.0,0.0
7,2004,2004,4.0,4.0,384.0,744,1374,2,4.0,7,0.0,3.0,2.0,400.0,0.0
6,2000,2000,3.0,4.0,794.0,819,1514,2,3.0,7,3.0,3.0,2.0,394.0,0.0
7,1999,2000,3.0,4.0,384.0,774,1430,2,3.0,7,3.0,2.0,2.0,400.0,0.0
7,1999,1999,4.0,4.0,1177.0,1223,2312,2,4.0,8,3.0,3.0,3.0,658.0,0.0
7,1999,1999,3.0,3.0,384.0,774,1430,2,3.0,7,3.0,3.0,2.0,410.0,0.0
8,2000,2000,4.0,4.0,1455.0,1466,2687,2,4.0,10,3.0,2.0,3.0,810.0,0.0
8,1994,1995,4.0,4.0,2024.0,2063,2063,2,4.0,7,4.0,3.0,3.0,815.0,0.0
7,1995,1996,4.0,4.0,1070.0,1094,2061,2,4.0,7,3.0,3.0,2.0,647.0,0.0
8,1993,1994,4.0,4.0,1173.0,1215,2232,2,4.0,8,3.0,2.0,2.0,623.0,0.0
8,2008,2008,4.0,4.0,1696.0,1696,1696,2,4.0,7,0.0,2.0,3.0,972.0,0.0
8,2008,2008,4.0,4.0,1614.0,1658,1658,2,4.0,7,4.0,3.0,3.0,726.0,0.0
8,2007,2007,4.0,4.0,1702.0,1702,1702,2,4.0,7,4.0,2.0,3.0,844.0,0.0
8,2006,2006,4.0,5.0,1422.0,1432,1432,2,4.0,7,4.0,3.0,2.0,492.0,0.0
9,2005,2006,5.0,5.0,2458.0,2490,2490,2,5.0,9,4.0,3.0,3.0,795.0,0.0
7,2008,2009,4.0,5.0,1436.0,1436,1436,2,4.0,6,0.0,3.0,2.0,529.0,0.0
7,2008,2008,4.0,4.0,1402.0,1402,1402,2,4.0,7,0.0,2.0,2.0,625.0,0.0
9,2007,2008,4.0,4.0,1530.0,1530,1530,2,4.0,7,4.0,2.0,3.0,984.0,0.0
8,2006,2007,4.0,4.0,1372.0,1448,1448,2,4.0,6,4.0,2.0,2.0,692.0,0.0
8,2006,2006,4.0,5.0,900.0,909,1795,2,4.0,8,4.0,3.0,3.0,782.0,0.0
8,2008,2009,4.0,4.0,1836.0,1836,1836,2,4.0,8,4.0,3.0,2.0,517.0,0.0
7,2006,2007,4.0,4.0,1652.0,1662,1662,2,5.0,8,4.0,2.0,3.0,711.0,0.0
7,2003,2004,4.0,4.0,1553.0,1553,1553,2,4.0,6,0.0,2.0,2.0,588.0,0.0
