AIRLINE,COUNTRY,BEGAN OPERATION,AVERAGE AGE OF FLEET,LAST FATAL ACCIDENT,FATAL ACCIDENTS LAST 10 YRS,FATAL ACCIDENTS LAST 20 YRS,COMMENTS,FATAL ACCIDENTS 10-20 YRS
Silk Air,Singaore,1992,6.4,1997,0,0,,0
SkyWest Airlines,USA,1972,12.0,1991,0,0,Operates for various regional airlines,0
South African Airways,South Africa,1934,10.3,1987,0,0,,0
Southwest Airlines,USA,1967,12.0,none,0,0,Over 18 million flights in 20 years,0
Spirit Airlines,USA,1980,6.0,none,0,0,,0
Swiss International Airlines,Switzerland,2002,9.6,none,0,0,,0
TAP Air Portugal,Portugal,1945,9.8,1977,0,0,,0
Thai Airways International,Thailand,1959,10.8,2001,0,0,,0
THY Turkish Airlines,Turkey,1933,6.9,2009,1,1,,0
Ukraine Inter. Airlines,Ukraine,1992,11.8,none,0,0,,0
United Airlines,USA,1931,15.8,2001,0,2,Over 12 million flights in 20 years,2
Vietnam Airlines,Vietnam,1951,5.8,none,0,0,,0
Virgin America,USA,2004,4.0,none,0,0,,0
Virgin Atlantic,England,1984,8.9,none,0,0,,0
Virgin Australia,Australia,2011,9.5,none,0,0,,0
Vueling Airlines,Spain,2004,6.8,none,0,0,,0
WestJet,Canada,1995,11.0,none,0,0,,0
