Brewery ID,Brewery Name,Type of Brewery,Street Address,City,State,Postal Code,5-digit Zip,Website,Phone,Longitude,Latitude
monolitch-brewing-company-omaha,Monolithic Brewing Company,Micro,4915 North 120th Street,Omaha,Nebraska,68164,68164,monolithicbrewing.com,(402) 502-4477,,
nebraska-brewing-co-la-vista-la-vista,Nebraska Brewing Co - La Vista,Micro,6950 S 108th St,La Vista,Nebraska,68128-5701,68128,,(402) 934-0950,-96.0813295,41.1772046
nebraska-brewing-co-papillion-papillion,Nebraska Brewing Co - Papillion,Brewpub,7474 Towne Center Pkwy Ste 101 Shadow Lake Towne Center,Papillion,Nebraska,68046-4805,68046,http://www.nebraskabrewingco.com,(402) 934-7100,,
pals-brewing-company-north-platte,Pals Brewing Company,Brewpub,4520 South Buffalo Bill Avenue,North Platte,Nebraska,69101,69101,http://www.palsbrewingcompany.com,(608) 807-9332,-100.7916041,41.12294
pint-9-la-vista,Pint 9,Micro,10411 Portal Rd,La Vista,Nebraska,68128,68128,https://pintninebrewing.com,(402) 359-1418,,
prairie-pride-brewery-grand-island,Prairie Pride Brewery,Micro,115 E South Front St,Grand Island,Nebraska,68801-5917,68801,http://www.prairiepride.beer,(308) 850-5375,-98.34025786,40.92675443
schillingbridge-winery-and-microbrewery-pawnee-city,SchillingBridge Winery & Microbrewery,Brewpub,62193 710th Rd,Pawnee City,Nebraska,68420-3584,68420,http://www.schillingbridgewinery.com,(402) 852-2400,,
scratchtown-brewing-company-ord,Scratchtown Brewing Company,Micro,141 S 16th St,Ord,Nebraska,68862-1415,68862,http://www.scratchtownbrewingcompany.com,(308) 728-5050,-98.92940309,41.60253006
scriptown-brewing-company-omaha,Scriptown Brewing Company,Micro,3922 Farnam St Blackstone District,Omaha,Nebraska,68131-3014,68131,http://www.scriptownbrewing.com,(402) 991-0506,,
soaring-wings-brewing-springfield,Soaring Wings Brewing,Micro,17111 S 138th St,Springfield,Nebraska,68059-4810,68059,http://www.soaringwingswine.com,(402) 253-2479,,
steeple-brewing-co-hastings,Steeple Brewing Co,Micro,717 W 1st St,Hastings,Nebraska,68901,68901,http://www.steeplebrewing.com,(402) 519-4205,-98.39024973,40.58418233
stone-hollow-brewing-company-beatrice,Stone Hollow Brewing Company,Micro,301 Court Street,Beatrice,Nebraska,68310,68310,https://facebook.com/stonehollowbrewing,(402) 806-4664,,
thunderhead-brewing-co-kearney,Thunderhead Brewing Co,Brewpub,18 E 21st St,Kearney,Nebraska,68847-5402,68847,http://www.thunderheadbrewing.com,(308) 237-1558,-99.080732,40.69665183
upstream-brewing-co-1-omaha,Upstream Brewing Co (#1),Brewpub,514 S 11th St,Omaha,Nebraska,68102-2808,68102,http://www.upstreambrewing.com,(402) 344-0200,-95.9308408,41.2547107
vis-major-brewing-co-omaha,Vis Major Brewing Co,Brewpub,3501 Center St,Omaha,Nebraska,68105-2423,68105,http://www.vismajorbrewing.com,(402) 884-4082,-95.964461,41.241419
white-elm-brewing-co-lincoln,White Elm Brewing Co,Micro,720 Van Dorn St,Lincoln,Nebraska,68502-3353,68502,http://www.whiteelmbrewing.com,(402) 261-6078,-96.7167126,40.7856925
zipline-brewing-co-lincoln,Zipline Brewing Co,Micro,2100 Magnum Cir Ste 1,Lincoln,Nebraska,68522-1027,68522,http://www.ziplinebrewing.com,(402) 475-1001,,
